	id	type	onset	offset	sentences
0		train	0	8	alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:  once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,  and what is the use of a book,  thought alice  without pictures or conversation? 
1		train	9	18	so she was considering in her own mind as well as she could, for the hot day made her feel very sleepy and stupid , whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies, when suddenly a white rabbit with pink eyes ran close by her.
2		train	19	23	there was nothing so very remarkable in that; nor did alice think it so very much out of the way to hear the rabbit say to itself,  oh dear!
3		train	23	23	oh dear!
4		train	24	24	i shall be late! 
5		train	25	42	when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural ; but when the rabbit actually took a watch out of its waistcoat- pocket, and looked at it, and then hurried on, alice started to her feet, for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it, and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.
6		train	43	46	in another moment down went alice after it, never once considering how in the world she was to get out again.
7		train	47	53	the rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that alice had not a moment to think about stopping herself before she found herself falling down a very deep well.
8		train	53	58	either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.
9		train	59	67	first, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs.
10		train	68	76	she took down a jar from one of the shelves as she passed; it was labelled  orange marmalade , but to her great disappointment it was empty:  she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.
11		train	77	77	 well! 
12		train	77	79	thought alice to herself,  after such a fall as this, i shall think nothing of tumbling down stairs!
13		train	80	81	how brave they ll all think me at home!
14		train	81	83	why, i would nt say anything about it, even if i fell off the top of the house! 
15		train	84	84	which was very likely true. 
16		train	85	85	down, down, down.
17		train	86	88	would the fall never come to an end!
18		train	88	90	 i wonder how many miles i ve fallen by this time? 
19		train	90	90	she said aloud.
20		train	90	92	 i must be getting somewhere near the centre of the earth.
21		train	92	103	let me see:  that would be four thousand miles down, i think--  for, you see, alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a very good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over   --yes, that s about the right distance--but then i wonder what latitude or longitude i ve got to? 
22		train	104	107	alice had no idea what latitude was, or longitude either, but thought they were nice grand words to say. 
23		train	108	108	presently she began again.
24		train	109	110	 i wonder if i shall fall right through the earth!
25		train	111	113	how funny it ll seem to come out among the people that walk with their heads downward!
26		train	113	119	the antipathies, i think--  she was rather glad there was no one listening, this time, as it did nt sound at all the right word   --but i shall have to ask them what the name of the country is, you know.
27		train	120	121	please, mama, is this new zealand or australia? 
28		train	122	124	and she tried to curtsey as she spoke--fancy curtseying as you re falling through the air!
29		train	124	125	do you think you could manage it? 
30		train	126	127	 and what an ignorant little girl she ll think me for asking!
31		train	127	129	no, it ll never do to ask:  perhaps i shall see it written up somewhere. 
32		train	130	130	down, down, down.
33		train	131	133	there was nothing else to do, so alice soon began talking again.
34		train	134	135	 dinah ll miss me very much to-night, i should think! 
35		train	136	136	dinah was the cat. 
36		train	137	138	 i hope they ll remember her saucer of milk at tea time.
37		train	139	139	dinah my dear!
38		train	139	140	i wish you were down here with me!
39		train	140	143	there are no mice in the air, i m afraid, but you might catch a bat, and that s very like a mouse, you know.
40		train	144	144	but do cats eat bats, i wonder? 
41		train	145	149	and here alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way,  do cats eat bats?
42		train	149	150	do cats eat bats? 
43		train	150	151	and sometimes,  do bats eat cats? 
44		train	151	154	for, you see, as she could nt answer either question, it did nt much matter which way she put it.
45		train	154	160	she felt that she was dozing off, and had just begun to dream that she was walking hand in hand with dinah, and saying to her very earnestly,  now, dinah, tell me the truth:  did you ever eat a bat? 
46		train	161	162	when suddenly, thump!
47		train	162	162	thump!
48		train	162	164	down she came upon a heap of sticks and dry leaves, and the fall was over.
49		train	165	172	alice was not a bit hurt, and she jumped up on to her feet in a moment:  she looked up, but it was all dark overhead; before her was another long passage, and the white rabbit was still in sight, hurrying down it.
50		train	172	177	there was not a moment to be lost: away went alice like the wind, and was just in time to hear it say, as it turned a corner,  oh my ears and whiskers, how late it s getting! 
51		train	177	183	she was close behind it when she turned the corner, but the rabbit was no longer to be seen:  she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.
